Unnamed: 0,product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,manufacturer,discount_percentage,Revenue
0,74021317,Cây Cam Ngọt Của Tôi,José Mauro De Vasconcelos,108000,64800,53075,Tiểu Thuyết,11481,5.0,Nhà Xuất Bản Hội Nhà Văn,40.0,3439260000
2,184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,86000,59900,7929,Others,780,4.8,Nhà Xuất Bản Thế Giới,30.35,474947100
3,73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,210000,126000,17896,Lĩnh Vực Khác,3623,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,2254896000
4,52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,47400,24668,Tác Phẩm Kinh Điển,5131,5.0,Nhà Xuất Bản Hà Nội,40.0,1169263200
5,147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Unknown,135000,81000,10000,Tiểu Thuyết,1636,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,810000000
6,3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,63000,25272,Truyện Ngắn - Tản Văn - Tạp Văn,3791,4.8,Unknown,40.0,1592136000
7,167940010,Thao Túng Tâm Lý,Shannon Thomas,169000,103000,8152,Others,785,4.8,Nhà Xuất Bản Dân Trí,39.05,839656000
8,117238177,Thư Viện Nửa Đêm,Matt Haig,150000,90000,7166,Truyện Giả Tưởng - Huyền Bí - Phiêu Lưu,1544,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,644940000
11,189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,128000,96000,4630,Others,604,4.8,Nhà Xuất Bản Thế Giới,25.0,444480000
12,199216988,Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,139000,85180,3980,Others,327,4.8,Nhà Xuất Bản Thế Giới,38.72,339016400
13,3954355,Yêu Những Điều Không Hoàn Hảo,Hae Min,139000,83400,33316,Truyện Ngắn - Tản Văn - Tạp Văn,3431,4.8,Unknown,40.0,2778554400
14,42230121,Hiểu Về Trái Tim (Tái Bản),Minh Niệm,138000,95200,25230,Others,2990,4.8,Unknown,31.01,2401896000
15,206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,280000,221000,164,Sách Kinh Tế Học,14,4.6,Nhà Xuất Bản Phụ Nữ,21.07,36244000
16,52788072,Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,109000,65400,17175,Tiểu Thuyết,3033,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,1123245000
17,109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,179000,115001,20322,Truyện Ngắn - Tản Văn - Tạp Văn,4863,4.8,Nhà Xuất Bản Thế Giới,35.75,2337050322
18,72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,300000,180000,13802,Others,3180,4.8,Nhà Xuất Bản Thế Giới,40.0,2484360000
19,117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,240000,144000,9627,Truyện Ngắn - Tản Văn - Tạp Văn,2013,5.0,Nhà Xuất Bản Hội Nhà Văn,40.0,1386288000
20,7779328,Cú Săn Đêm,Samuel Bjork,134000,113900,7,Tiểu Thuyết,0,0.0,Unknown,15.0,797300
21,188940817,Vị Thần Của Những Quyết Định,Universe,79000,55100,4654,Sách Chiêm Tinh - Horoscope,648,4.8,Nhà Xuất Bản Thế Giới,30.25,256435400
22,15267827,Hoàng Tử Bé (Tái Bản 2019),Antoine De Saint-Exupéry,75000,45000,20669,Truyện Kể Cho Bé,3011,4.8,Unknown,40.0,930105000
23,69219919,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),Nguyên Phong,98000,72000,12009,Others,2603,4.8,Nhà Xuất Bản Tổng Hợp Tp.Hcm,26.53,864648000
24,3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),Hae Min,85000,51000,44869,Truyện Ngắn - Tản Văn - Tạp Văn,3702,4.8,Unknown,40.0,2288319000
26,8885999,Totto - Chan Bên Cửa Sổ (Tái Bản),Kuroyanagi Tetsuko,98000,58800,18288,Truyện Dài,1829,5.0,Unknown,40.0,1075334400
27,71345381,Thay Đổi Cuộc Sống Với Nhân Số Học,David A. Phillips,248000,141300,24563,Others,4712,4.8,Nhà Xuất Bản Tổng Hợp Tp.Hcm,43.02,3470751900
28,92096344,Những Người Khốn Khổ (Boxet 2 Tập),Victor Hugo,499000,399000,2274,Tác Phẩm Kinh Điển,553,4.8,Nhà Xuất Bản Văn Học,20.04,907326000
29,3638033,Trăm Năm Cô Đơn,Gabriel Garcia Marquez,169000,101400,7143,Truyện Ngắn - Tản Văn - Tạp Văn,989,4.7,Unknown,40.0,724300200
30,52785564,Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,129000,77400,2904,Tác Phẩm Kinh Điển,508,4.6,Nhà Xuất Bản Dân Trí,40.0,224769600
31,97594364,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,Ngô Sa Thạch,320000,223001,27672,Lĩnh Vực Khác,6325,4.7,Nhà Xuất Bản Dân Trí,30.31,6170883672
32,1476937,Dám Bị Ghét,Koga Fumitake,96000,57600,45858,Tiểu Thuyết,3457,4.8,Unknown,40.0,2641420800
33,3828605,Chú Bé Mang Pyjama Sọc (Tái Bản 2018),John Boyne,68000,40800,8464,Truyện Kể Cho Bé,1351,5.0,Unknown,40.0,345331200
34,114937969,Rừng Nauy (Tái Bản),Haruki Murakami,150000,90000,3660,Tiểu Thuyết,777,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,329400000
36,8885995,Sự Im Lặng Của Bầy Cừu (Tái Bản),Thomas Harris,115000,69000,15845,Truyện Dài,2469,4.8,Unknown,40.0,1093305000
37,75953557,Tâm Lý Học Về Tiền,Morgan Housel,189000,133000,18383,"Sách Tài Chính, Tiền Tệ",2990,4.8,Nhà Xuất Bản Dân Trí,29.63,2444939000
38,12377498,Bố Con Cá Gai (Tái Bản 2019),Cho Chang - In,96000,57600,6384,Tiểu Thuyết,1025,4.8,Unknown,40.0,367718400
39,145288029,Xứ Cát,Frank Herbert,249000,149400,5185,Truyện Giả Tưởng - Huyền Bí - Phiêu Lưu,1065,4.7,Nhà Xuất Bản Hội Nhà Văn,40.0,774639000
41,113530805,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),Rosie Nguyễn,90000,54000,6552,Others,1273,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,353808000
